상호명,도로명주소,행정동,위도,경도
더금하제로마켓,서울특별시 금천구 금하로1다길 16,독산1동,37.452988185,126.891430758
서울시의회 의원회관,서울특별시 중구 덕수궁길 15,소공동,37.564593041,126.974741882
노들섬C(올두바이),서울특별시 용산구 양녕로 445,이촌2동,37.51766,126.95804
서대문구청,서울특별시 서대문구 연희로 248,연희동,37.57912,126.93677
제로웨이스트샵안녕상점,서울특별시 도봉구 도봉로143길 18,방학1동,37.66187976,127.041208847
용두문화복지센터 (북카페),서울특별시 동대문구 고산자로28길 13,용신동,37.57532,127.03917
행복중심생협_새록 공릉점,서울특별시 노원구 공릉로34길 23,공릉2동,37.622943726,127.080319265
카페블럭,서울특별시 광진구 자양로11길 10,자양1동,37.5348,127.08345
숭의여대 음악당_드림스퀘어(카페),서울특별시 중구 소파로2길 10,필동,37.55786,126.9875
노들섬B,서울특별시 용산구 양녕로 445,이촌2동,37.51766,126.95804
스타벅스 을지로삼화타워점,서울특별시 중구 을지로5길 16,명동,37.56695,126.98492
알맹상점 리스테이션,서울특별시 중구 한강대로 405,회현동,37.554498838,126.971400314
공간1616(노느매기),서울특별시 영등포구 당산로16길 16,당산1동,37.522479352,126.897704245
노들섬D,서울특별시 용산구 양녕로 445,이촌2동,37.51766,126.95804
노원구청,서울특별시 노원구 노해로 437,상계6.7동,37.65451,127.05628
얼스어스 서촌점,서울특별시 종로구 자하문로28가길 1,청운효자동,37.585316815,126.971258879
두레생협(진관점),서울특별시 은평구 진관3로 67,진관동,37.640807611,126.92109303
라데팡스,서울특별시 강서구 마곡중앙6로 45,가양1동,37.56063,126.83272
커피에이엠,서울특별시 강서구 화곡로 296,화곡6동,37.55058,126.84905
음밥,서울특별시 강북구 솔매로50길 78,송중동,37.623099333,127.028129447
심비디움,서울특별시 종로구 종로 19,종로1.2.3.4가동,37.57083,126.97986
행복플러스,서울특별시 중구 세종대로 110,명동,37.566657701,126.978360962
제로웨이스트샵안녕상점,서울특별시 도봉구 도봉로143길 18,방학1동,37.661847951,127.041178536
카페 일마지오 본점_사내카페,서울특별시 영등포구 선유로 165,양평1동,37.52858,126.89157
비안빈,서울특별시 마포구 상암산로 76,상암동,37.57913,126.89237
더데일리카페인을지로,서울특별시 중구 마른내로2길 6,을지로동,37.56415,126.99239
서소문청사 후생동 (네스카페),서울특별시 중구 덕수궁길 15,소공동,37.564627092,126.974294379
서초구청,서울특별시 서초구 남부순환로 2584,서초2동,37.48364,127.03268
두레생협(백련산점),서울특별시 은평구 응암로22길 21,응암2동,37.593633791,126.920548929
플립커피로스터스,서울특별시 강서구 마곡중앙6로 45,가양1동,37.56063,126.83272
두레생협(종암점),서울특별시 성북구 종암로21길 124,종암동,37.60340962,127.03061323
다-용도실,서울특별시 은평구 연서로20길 17,대조동,37.614077868,126.919933605
Walking on Sunshine,서울특별시 성북구 보문로30가길 17,동선동,37.589371645,127.020674236
애니원FNC _사내카페,서울특별시 강남구 논현로99길 24,역삼1동,37.50347,127.03336
로담,서울특별시 강북구 도봉로89길 9,수유3동,37.639081279,127.025872201
노들섬A(노들펍),서울특별시 용산구 양녕로 445,이촌2동,37.51766,126.95804
토프레소(호서 발산점),서울특별시 강서구 강서로 63,화곡1동,37.53323,126.84554
GS25 DX LAB점,서울특별시 강남구 테헤란로 223,역삼1동,37.5024,127.04069
잼파파,서울특별시 강북구 한천로 1040,수유3동,37.640307044,127.026670081
스타벅스 한국프레스센터점,서울특별시 중구 세종대로 124,명동,37.56742,126.97789
동네방네,서울특별시 노원구 한글비석로24라길 87,상계5동,37.665704082,127.069585312
휘카페,서울특별시 동대문구 서울시립대로 117,전농1동,37.581077975,127.051419581
은평구청,서울특별시 은평구 은평로 195,녹번동,37.60246,126.92884
두레생협(응암역점),서울특별시 은평구 연서로 9,역촌동,37.600008363,126.915682007
더테이블,서울특별시 중구 을지로 65,명동,37.56648742,126.984936922
영그램,서울특별시 노원구 동일로182길 63-3,공릉1동,37.623697453,127.077568172
꿈꾸는 고래,서울특별시 은평구 갈현로9길 5-16,역촌동,37.604340696,126.909702562
행복중심생협_새록 중계점,서울특별시 노원구 노원로22길 77,중계1동,37.64774495,127.074549874
노원구청 카페_노원437,서울특별시 노원구 노해로 437,상계6.7동,37.65451,127.05628
마을과마디_새록,서울특별시 노원구 화랑로 464,공릉1동,37.618552543,127.078900615
잠실야구장 01~20,서울특별시 송파구 올림픽로 19-2,잠실2동,37.51125,127.07286
양천구청 카페_도담,서울특별시 양천구 목동동로 105,신정6동,37.51706,126.86655
스타벅스 을지로내외빌딩R점,서울특별시 중구 을지로 51,명동,37.5665,126.9837
휘펍,서울특별시 강서구 강서로56가길 63,등촌3동,37.5624115,126.8403738
THE YOUNG(더영),서울특별시 마포구 매봉산로 75,상암동,37.57852,126.89295
니트앤커피,서울특별시 중구 청계천로 208,을지로동,37.56914,127.00073
카페루시,서울특별시 강서구 공항대로 213,가양1동,37.5597,126.83137
스타벅스 을지로국제빌딩점,서울특별시 중구 남대문로 109,명동,37.56699,126.98226
스타벅스서소문배재점,서울특별시 중구 서소문로 99,소공동,37.56289,126.97219
애니원FNC 서울세관,서울특별시 강남구 언주로 721,논현2동,37.518402,127.034468
서강대학교,서울특별시 마포구 백범로 35,대흥동,37.55147,126.94307
스타벅스 시청점,서울특별시 중구 을지로 19,명동,37.56631,126.97997
은평구청내 카페_은마루,서울특별시 은평구 은평로 195,녹번동,37.60246,126.92884
한스바이오매드,서울특별시 송파구 정의로8길 7,문정2동,37.48621,127.11592
제로마켓 리필스테이션 GS더프레시 명일점,서울특별시 강동구 양재대로 1630,명일1동,37.551045938,127.144529861
카페라라당,서울특별시 중구 남대문로9길 51,명동,37.56682,126.97951
매듭달,서울특별시 양천구 목동중앙북로 68,목2동,37.54659,126.87068
칸틴커피대치,서울특별시 강남구 테헤란로114길 38,대치2동,37.50708,127.06689
몽슈크레,서울특별시 강서구 마곡중앙6로 45,가양1동,37.56063,126.83272
SK T보라매 사옥_아이갓에브리씽,서울특별시 관악구 보라매로5길 1,보라매동,37.49221,126.92647
르라보 가로수길점,서울특별시 강남구 압구정로10길 28,신사동,37.521774252,127.021961002
제로마켓 미오솜 홈플러스 신도림점,서울특별시 구로구 경인로 661,신도림동,37.509258946,126.888041345
마포구청 카페_티타임,서울특별시 마포구 월드컵로 212,성산2동,37.56608768,126.901731111
커피수공업,서울특별시 성북구 고려대로 51,안암동,37.58641,127.02508
파머스빈 마곡나루점,서울특별시 강서구 마곡중앙5로1길 20,가양1동,37.568625,126.826607
아로마티카 제로스테이션,서울특별시 강남구 도산대로1길 62,신사동,37.520642755,127.019285386
스타벅스 을지로국제빌딩점,서울특별시 중구 남대문로 109,명동,37.56699,126.98226
국민대학교 교내카페 (카페나무),서울특별시 성북구 정릉로 119-39,정릉3동,37.609899734,126.998396037
로코랩,서울특별시 종로구 율곡로4길 51,종로1.2.3.4가동,37.57334,126.98136
앞으로의 빵집,서울특별시 종로구 삼일대로32가길 29-1,종로1.2.3.4가동,37.574727662,126.989387079
스타벅스 서소문로점,서울특별시 중구 서소문로 120,소공동,37.56291,126.97468
에코스토어(ecostore) 더현대서울,서울특별시 영등포구 여의대로 108,여의동,37.527097227,126.927301228
카페겸,서울특별시 서대문구 증가로 264,북가좌2동,37.58408,126.91121
카페자스 광화문,서울특별시 종로구 새문안로5가길 3-1,사직동,37.57249,126.97428
보탬상점,서울특별시 중랑구 봉화산로22길 2,중화1동,37.601451021,127.082034035
셉틱탱크,서울특별시 서대문구 간호대로3길 24-8,홍제3동,37.595980469,126.947048658
카페 트랜스,서울특별시 은평구 통일로61길 4,녹번동,37.606750845,126.932567521
한국폴리텍대학 강서캠퍼스_참人카페,서울특별시 강서구 우장산로10길 112,우장산동,37.54925,126.84246
서소문청사 1동,서울특별시 중구 덕수궁길 15,소공동,37.56458,126.97561
라라당,서울특별시 중구 남대문로9길 51,명동,37.56682,126.97951
행복플러스,서울특별시 중구 세종대로 110,명동,37.566517812,126.977864954
투썸플레이스 예금보험공사,서울특별시 중구 청계천로 30,명동,37.56854,126.98077
아토모스,서울특별시 성북구 성북로8길 11,성북동,37.591139741,127.004427164
양천구청,서울특별시 양천구 목동동로 105,신정6동,37.51706,126.86655
쿠아레비 구산점,서울특별시 은평구 서오릉로 149,구산동,37.611634364,126.91629055
종로노인종합복지관,서울특별시 종로구 율곡로19길 17-8,이화동,37.57665,127.00604
카페 쓸 Cafe.SSSSl,서울특별시 은평구 통일로 684,녹번동,37.607391238,126.933354265
씨에스제이커피,서울특별시 성동구 자동차시장길 49,용답동,37.558632628,127.058050888
스타벅스 무교로점,서울특별시 중구 무교로 21,명동,37.56786,126.97876
스타벅스 을지로경기빌딩점,서울특별시 중구 남대문로10길 9,명동,37.56721,126.98323
일상공감_길음,서울특별시 성북구 삼양로 27,길음1동,37.605600341,127.023971164
스타벅스 시청점,서울특별시 중구 을지로 19,명동,37.56631,126.97997
스타벅스 서소문배제점,서울특별시 중구 서소문로 120,소공동,37.56291,126.97468
리사이클링 마켓:,서울특별시 노원구 한글비석로50길 24,상계5동,37.665532573,127.067110089
에코스토어(ecostore) 신세계백화점 본점,서울특별시 중구 소공로 63,회현동,37.560980126,126.981084861
유민얼랏,서울특별시 마포구 성미산로17길 68,연남동,37.56442005,126.917539199
Dear.eco(디어 에코),서울특별시 광진구 아차산로65길 22,구의3동,37.54128886,127.09379199
열매네살림,서울특별시 강북구 삼양로27길 19,삼각산동,37.618677372,127.020160679
웨이스트업소(Wasteupso),서울특별시 서초구 방배로 189,방배4동,37.490369292,126.991734427
카페 모쪼록,서울특별시 강북구 한천로139가길 13,수유3동,37.640044692,127.025485174
㈜에코T&L,서울특별시 송파구 거마로 79,마천2동,37.499931039,127.147197547
서울시청 본청,서울특별시 중구 세종대로 110,명동,37.566677752,126.978401701
짜드라,서울특별시 중구 을지로 60-2,명동,37.56596,126.9845
되살림가게_새록2호점,서울특별시 노원구 상계로37길 6,상계3.4동,37.67060339,127.079234899
북촌감성,서울특별시 종로구 계동길 60,가회동,37.579942453,126.986905195
원점,서울특별시 성동구 아차산로7길 42,성수2가3동,37.54865331,127.055839439
스토어36.5노원점_새록,서울특별시 노원구 동일로 1411-2,상계6.7동,37.654440117,127.060480222
제로띵스,서울특별시 중구 수표로 32-1,을지로동,37.56399559,126.990260167
큐클리프,서울특별시 송파구 올림픽로57길 2,풍납1동,37.534596039,127.121479908
나래공방협동조합,서울특별시 송파구 문정로 246,마천2동,37.499979942,127.142002116
다숲,서울특별시 관악구 관악로 140,낙성대동,37.47760885,126.952582229
두레생협(상도점),서울특별시 동작구 상도로 217-4,상도2동,37.505427545,126.94289823
빛과소금,서울특별시 송파구 오금로35길 17,오금동,37.504458784,127.126216023
HK이노엔_사내카페,서울특별시 중구 을지로 100,명동,37.56565,126.98815
감탄상회,서울특별시 동작구 양녕로29길 16,상도4동,37.499355822,126.943191527
지구상점,서울특별시 동작구 상도로61길 54,상도1동,37.494634743,126.95777267
올가홀푸드(방이점),서울특별시 송파구 양재대로71길 4,방이1동,37.510413072,127.126412633
요고조고 제로마켓,서울특별시 강서구 초록마을로 4,화곡본동,37.545030412,126.844782664
굿바이마켓,서울특별시 용산구 서빙고로 17,한강로동,37.52562957,126.967257572
숨공춤공,서울특별시 양천구 신월로 220,신월2동,37.521502351,126.846389188
비유비웰,서울특별시 동작구 흑석한강로 27,흑석동,37.503075282,126.964732086
두레생협(성산점),서울특별시 마포구 성미산로 27,성산1동,37.558827972,126.911210824
탄탄제로,서울특별시 동작구 사당로16다길 56,사당4동,37.483385966,126.970116635
스프링고,서울특별시 서초구 방배천로16길 18,방배2동,37.482081269,126.983999846
타셋커피 로스터즈,서울특별시 마포구 월드컵북로 396,상암동,37.57937,126.89039
놀자샵,서울특별시 강서구 강서로29길 27,화곡1동,37.539151806,126.84038085
제로마켓 베러얼스 홈플러스 남현점,서울특별시 관악구 과천대로 909,남현동,37.471863783,126.982488916
1.5도씨,서울특별시 관악구 조원로18길 15,조원동,37.483568434,126.912583627
덕분애,서울특별시 서초구 서운로26길 11,서초4동,37.50268161,127.02303671
두레생협(남구로점),서울특별시 구로구 도림로12길 27,구로3동,37.48657515,126.889631348
두레생협(도곡점),서울특별시 강남구 남부순환로365길 22,도곡1동,37.48690394,127.039471626
키퍼스마켓 (Keepers Market),서울특별시 강남구 언주로30길 21,도곡2동,37.488221685,127.052215802
허그어웨일,서울특별시 강서구 화곡로55길 23,화곡6동,37.552653102,126.848527544
행복한나눔,서울특별시 강서구 공항대로 543,염창동,37.550760526,126.866417482
지구살림터,서울특별시 양천구 목동중앙북로16길 41,목2동,37.544334726,126.873922753
CSJ COFFEE,서울특별시 성동구 자동차시장길 49,용답동,37.558632628,127.058050888
바느질하는 바리스타,서울특별시 양천구 은행정로5길 12,신정1동,37.521299158,126.858604242
어짜다에코,서울특별시 영등포구 양평로28마길 7,양평2동,37.542084599,126.891012373
밋자인,서울특별시 영등포구 영등포로 155,당산1동,37.521084917,126.89876958
지구손길 제로샵,서울특별시 구로구 천왕로 21,오류2동,37.47972737,126.839770008
제로마켓 프렌들리랩 NC 신구로점,서울특별시 구로구 구로중앙로 152,구로5동,37.50113,126.8828
지미프로젝트,서울특별시 송파구 오금로36길 66,가락본동,37.498736096,127.121604653
해피플,서울특별시 관악구 조원로2길 14,조원동,37.483052558,126.902458195
세컨드페이지,서울특별시 송파구 중대로 127,가락본동,37.494617175,127.122086836
해달별 제로웨이스트 샵,서울특별시 강남구 자곡로 191,세곡동,37.47513,127.10386
공기(대안생활 1호점),서울특별시 강동구 상암로 10,암사2동,37.551128978,127.124930802
스타벅스 무교동점,서울특별시 중구 무교로 21,명동,37.56786,126.97876
㈜리싸이클시티,서울특별시 강동구 동남로 930,고덕2동,37.557012452,127.156964748
보틀앤스쿱,서울특별시 마포구 대흥로24길 24,염리동,37.553448274,126.946912555
제로웨이스트샵 선택지,서울특별시 강동구 천호옛12길 47,성내2동,37.534807415,127.127292114
송포어스,서울특별시 강동구 풍성로35길 34,성내2동,37.533453073,127.125450166
늘보따리,서울특별시 서대문구 연희로4길 24,신촌동,37.56103168,126.928184397
알맹상점,서울특별시 마포구 월드컵로 49,합정동,37.553654753,126.911712879
플라워에이블,서울특별시 강남구 테헤란로52길 6,역삼2동,37.503204284,127.047134086
퍼즐리,서울특별시 마포구 신수로 46,신수동,37.545824223,126.934477482
디어얼스(Dear. Earth),서울특별시 은평구 녹번로6길 2,녹번동,37.60609239,126.931293672
지구샵 홈&베이커리 연남점,서울특별시 마포구 성미산로 155,연남동,37.564525958,126.923533416
두레생협(녹번역점),서울특별시 은평구 은평로 245,녹번동,37.60111292,126.935165303
두레생협(북가좌점),서울특별시 서대문구 수색로 100,북가좌1동,37.575612561,126.912130421
코스메틱미아,서울특별시 서대문구 명지대7길 13,남가좌2동,37.583811071,126.922495113
어몽트리 그림공간,서울특별시 서초구 방배천로6길 33-1,방배2동,37.479404989,126.98442496
오프레스,서울특별시 용산구 후암로35길 49,후암동,37.549301402,126.976168212
"꽃, 더그레이스",서울특별시 양천구 신목로4길 3,신정2동,37.518622549,126.874413592
더피커,서울특별시 성동구 왕십리로14길 9,성수1가2동,37.549359631,127.045149268
제로웨이스트 cafe&shop 달그락,서울특별시 강서구 우장산로2길 6,우장산동,37.554562139,126.837621559
지구샵 그로서리,서울특별시 마포구 연남로 93,연남동,37.566873713,126.917721436
목로정원,서울특별시 성동구 서울숲2길 47,성수1가2동,37.546324059,127.044027863
카페535,서울특별시 중랑구 공릉로2길 23,묵1동,37.612170384,127.079288082
빛바람,서울특별시 마포구 월드컵북로 57,성산1동,37.559159981,126.917085839
아름다운 지구살림 광진화양점,서울특별시 광진구 광나루로 343,군자동,37.548527724,127.068151481
코스모스상점,서울특별시 성동구 성수이로7길 27,성수2가1동,37.541575092,127.053453702
리봄교육,서울특별시 광진구 광나루로 369,군자동,37.548446637,127.070942761
퍼스트페이지,서울특별시 송파구 올림픽로49길 8,풍납2동,37.530452895,127.1195646
지구샵 상도점,서울특별시 동작구 성대로1길 16,상도4동,37.500857487,126.933909917
해담는마을,서울특별시 서대문구 응암로2길 15,북가좌2동,37.580175934,126.912576101
오색오미,서울특별시 마포구 월드컵로26길 39,성산1동,37.559465169,126.90991818
카페샬롬,서울특별시 광진구 군자로 30,화양동,37.545865651,127.070655514
마리스텔라,서울특별시 강남구 학동로45길 3,논현2동,37.516546303,127.037869777
제로마켓 리필스테이션 GS더프레시 고덕그라시움점,서울특별시 강동구 고덕로 353,고덕2동,37.55712,127.16454
