행정동명,2023년09월_전체세대,2023년09월_1인세대,2023년09월_2인세대,2023년09월_3인세대,2023년09월_4인세대,2023년09월_5인세대,2023년9월_6인가구이상,채소가게수,제로웨이스트 가게수,유치원수,거주인구대비취약자수,거주인구대비취약자백분위수,미세먼지지수,미세먼지백분위,행정구역면적,공원수,공원율,도시농업(프로그램수),도시농업(시설수),초등학교수,사업체수 (개),종사자수 (명),채식식당수,인구수,1_0대,1_10대,1_20대,1_30대,1_40대,1_50대,1_60대,1_70대,1_80대,1_90대,1_기타,2_0대,2_10대,2_20대,2_30대,2_40대,2_50대,2_60대,2_70대,2_80대,2_90대,2_기타,카페수,승하차인원_버스_지하철,1점포당_1년_매출액,행정동별_1년_매출액,1인세대_(수),1인세대,총_10대_(수),총_20_30대_(수),총_40_50대_(수),총_60대이상_(수),총_10대,총_20_30대,총_40_50대,총_60대이상,유치원_초등학교_(수),유치원_초등학교,거주_유동_인구당_매출액
갈현2동,12574,4777,3364,2313,1637,382,101,1.0,0.0,4.0,7462,86.0,13.483,2,0.9844,4,0.45,0.0,0.0,2.0,2344,6776,1.0,55418,1218,2270,3714,3656,4104,4560,3640,2050,906,62,0,1174,2190,4160,3676,4282,5144,4478,2674,1316,144,0,53.0,245983.0,17906347.94,4136366373,4777,0.3799109273103229,4460,15206,18090,15270,0.08047926666426071,0.27438738316070593,0.32642823631311124,0.2755422425926594,6.0,0.00010826807174564221,37.59944595724269
강일동,13095,3589,3586,2776,2340,673,131,3.0,0.0,4.0,9803,94.0,32.123,40,3.6447,8,5.71,2.0,1.0,3.0,1443,5960,1.0,32811,1489,1864,1703,1967,2641,2282,2137,1173,380,45,1,1358,1750,1669,2231,2799,2494,2775,1302,603,141,7,20.0,262007.0,81688655.18,2777414276,3589,0.2740740740740741,3614,7570,10216,8564,0.110145987626101,0.23071530889031117,0.31135899545884005,0.2610100271250495,7.0,0.00021334308616012922,25.810344622180185
개봉1동,14972,5491,3984,2925,1991,447,134,4.0,0.0,2.0,9640,93.0,17.357,28,1.3189,2,0.26,0.0,0.0,1.0,2540,6162,0.0,33313,1012,1133,2070,2584,1270,2722,1473,1432,541,36,1127,996,1052,1981,2460,1163,2764,1528,1591,727,103,1111,44.0,523111.0,82670342.96,4298857834,5491,0.366751269035533,2185,9095,7919,9669,0.06559000990604269,0.2730165400894546,0.2377150061537538,0.29024705070092754,3.0,9.005493350944076e-05,21.166758974973064
개봉2동,12413,3538,3565,2762,1951,436,161,0.0,0.0,3.0,9371,92.0,17.357,29,0.782,1,0.23,0.0,0.0,0.0,1789,3901,1.0,30159,879,1066,1673,1991,1231,2270,1186,1489,540,35,1086,837,1020,1744,1998,1131,2470,1517,1664,656,98,1072,33.0,312685.0,46092004.17,2442876221,3538,0.28502376540723434,2086,7406,7102,9343,0.06916674956066182,0.245565171258994,0.23548526144766074,0.30979143870818,3.0,9.947279419078882e-05,19.52144871831959
개봉3동,8733,2885,2597,1751,1172,263,65,3.0,0.0,1.0,5955,76.0,17.357,29,0.8278,5,50.04,0.0,0.0,3.0,1428,8477,0.0,19842,458,665,1182,1300,761,1629,852,941,321,24,741,470,650,1081,1221,748,1784,1036,1055,477,62,694,29.0,123892.0,19898709.41,3561868984,2885,0.3303561204626131,1315,4784,4922,6203,0.06627356113295031,0.24110472734603366,0.24805967140409232,0.3126196955952021,4.0,0.00020159258139300473,67.89308835518273
개포1동,2618,688,606,579,549,144,52,4.0,0.0,1.0,2045,36.0,16.56,23,1.4488,0,0.0,0.0,0.0,1.0,279,1251,0.0,9200,220,332,337,306,503,522,567,379,135,9,1,207,373,350,369,566,532,603,379,150,33,1,1.0,103771.0,53937385.03,31482399997,688,0.26279602750190983,705,1362,2123,2257,0.0766304347826087,0.14804347826086955,0.23076086956521738,0.24532608695652175,2.0,0.0002173913043478261,763.4981603837474
개포2동,14419,2465,3453,3758,3795,745,203,2.0,0.0,2.0,5547,73.0,33.12,42,2.2416,12,6.0,0.0,0.0,4.0,1309,4366,1.0,38769,1766,2466,2192,2351,3192,3192,2160,1145,275,17,2,1656,2417,2227,2810,3797,3235,2366,1123,291,89,0,26.0,298994.0,60217692.47,5479810015,2465,0.17095498994382413,4883,9580,13416,7468,0.12595114653460238,0.2471046454641595,0.3460496788671361,0.19262813072300033,6.0,0.0001547628259692022,44.448853554971
개포3동,7404,2549,1895,1553,1152,202,53,0.0,0.0,2.0,4986,68.0,49.679,49,1.2993,4,2.16,0.0,0.0,1.0,863,10440,0.0,17069,557,1076,893,1176,1394,1193,1066,704,187,16,2,501,586,780,1240,1554,1276,1440,987,373,68,0,15.0,69514.0,53937385.03,31482399997,2549,0.3442733657482442,1662,4089,5417,4843,0.09736950026363583,0.23955709180385495,0.3173589548303943,0.2837307399378991,3.0,0.00017575722069248346,996.1903685101271
개포4동,10102,3677,2297,2029,1638,348,113,1.0,0.0,2.0,4821,67.0,16.56,23,1.6642,1,0.1,0.0,0.0,2.0,2900,12667,3.0,23395,826,1049,1483,1767,1808,1894,1486,721,217,22,0,761,1154,1489,1890,1989,2042,1663,795,277,59,3,37.0,186882.0,30982675.46,3191215572,3677,0.3639873292417343,2203,6629,7733,5243,0.09416541996153024,0.28335114340671086,0.330540713827741,0.22410771532378712,4.0,0.00017097670442402222,41.578757361213235
거여1동,5568,2225,1443,951,728,176,45,4.0,0.0,1.0,3372,52.0,17.603,30,0.5697,7,11.2,0.0,0.0,1.0,1228,3504,2.0,24218,540,874,1726,1748,1660,2176,1942,1078,364,28,4,446,836,1624,1556,1634,2144,2084,1140,514,98,2,20.0,98213.0,22263650.93,912809688,2225,0.39960488505747127,1710,6654,7614,7254,0.07060863820298952,0.2747543149723346,0.31439425220910067,0.2995292757453134,2.0,8.258320257659592e-05,20.426595063946
거여2동,10093,3332,2703,2039,1566,365,88,4.0,0.0,3.0,4726,66.0,17.603,30,0.6124,6,2.81,0.0,0.0,1.0,1225,4647,1.0,47436,1908,1852,2578,3534,3628,3858,3284,1814,600,42,0,1802,1700,2560,3508,3668,4102,3770,2060,986,174,8,30.0,107255.0,71754672.65,6170901848,3332,0.33012979292579014,3552,12180,15256,12738,0.07487983809764735,0.25676701239564886,0.3216122775950755,0.2685302302049077,4.0,8.432414200185513e-05,109.292592364646
고덕1동,8159,1385,1567,2145,2527,437,98,2.0,0.0,2.0,7794,87.0,14.797,11,1.5173,5,2.82,0.0,0.0,2.0,1274,3072,2.0,23876,1241,2133,1088,1154,2555,1790,1357,630,186,25,0,1050,1636,910,1343,2691,1615,1482,634,273,79,4,22.0,104316.0,2328704.133,182419287,1385,0.16975119499938718,3769,4495,8651,4670,0.1578572625230357,0.1882643658904339,0.3623303735969174,0.19559390182610153,4.0,0.00016753224995811694,3.898674398504982
고덕2동,8951,2367,2178,2139,1872,323,72,4.0,2.0,2.0,6147,78.0,14.797,11,2.205,7,12.12,0.0,0.0,2.0,1063,3653,1.0,22727,1264,1229,1084,1640,2250,1601,1467,702,190,15,1,1181,1067,1021,1807,2104,1623,1516,673,251,41,0,39.0,157730.0,39529961.67,2292737777,2367,0.26443972740475924,2296,5552,7578,4856,0.10102521230254763,0.2442909314911779,0.3334360012320148,0.213666563998768,4.0,0.0001760021120253443,34.808698812702396
고척1동,11546,3923,3176,2292,1741,328,86,0.0,0.0,2.0,6722,82.0,17.357,29,1.1504,1,0.03,0.0,0.0,3.0,3188,10326,1.0,26217,867,944,1717,2575,988,1969,966,990,325,23,900,792,928,1696,2390,868,2024,1043,1074,464,91,866,50.0,370898.0,53955105.67,4100588031,3923,0.3397713493850684,1872,8378,5849,6742,0.07140405080672846,0.31956364191173664,0.22309951558149294,0.25716138383491627,5.0,0.00019071594766754396,28.290262911661316
고척2동,11497,4148,2999,2205,1669,367,109,3.0,0.0,1.0,7871,87.0,17.357,28,1.0248,6,26.25,0.0,0.0,2.0,2416,5276,1.0,25991,702,1063,1614,1572,891,2324,1153,1128,472,31,962,645,1008,1567,1454,904,2354,1153,1348,661,94,992,25.0,240770.0,17342344.59,3121622026,4148,0.36078977124467254,2071,6207,6473,7994,0.07968142818668,0.23881343541995306,0.24904774729714133,0.30756800430918396,3.0,0.00011542457004347659,32.060117904524155
공덕동,18631,9274,3960,2863,2005,413,116,5.0,0.0,3.0,8711,90.0,68.63,54,1.0184,4,0.67,0.0,0.0,2.0,3861,21353,3.0,73514,2080,2144,4894,6214,5078,5988,4686,2124,1048,90,2,1808,2126,6948,6858,5036,6382,5042,2882,1824,252,8,69.0,399267.0,49102788.58,18511751294,9274,0.4977725296548763,4270,24914,22484,17958,0.058084174442963245,0.338901433740512,0.3058465054275376,0.2442800010882281,5.0,6.801425578801317e-05,107.274037731797
공릉1동,18625,9525,3882,2680,1994,428,116,7.0,2.0,6.0,9433,93.0,15.673,17,1.2623,8,17.44,0.0,0.0,3.0,3992,14564,3.0,72480,1644,2572,6352,5086,5074,5310,5236,2754,1006,94,0,1530,2446,6838,4924,4980,5564,6028,3260,1498,276,8,81.0,296420.0,25976249.54,10806119808,9525,0.5114093959731544,5018,23200,20928,20160,0.06923289183222958,0.3200883002207506,0.28874172185430463,0.2781456953642384,9.0,0.00012417218543046358,80.25429030401378
공릉2동,17833,6571,3710,3546,3233,625,148,3.0,1.0,10.0,9791,94.0,15.673,17,6.9783,10,0.5,0.0,0.0,4.0,2754,13078,5.0,80894,3132,4342,6818,5436,6418,6232,4860,2380,848,90,0,2944,4230,6992,5556,6938,6448,5524,2640,1378,192,6,98.0,373913.0,18756391.37,2850971488,6571,0.3684741770874222,8572,24802,26036,17918,0.1059658318293075,0.30659875886963184,0.3218532894899498,0.2214997404010186,14.0,0.0001730659875886963,17.174055784192188
공항동,13830,5960,3042,2379,1832,493,124,5.0,2.0,4.0,6976,83.0,98.902,58,10.8646,7,0.47,2.0,1.0,2.0,2838,34394,4.0,60020,3116,2268,3880,5330,5608,4104,3646,1708,684,58,0,2948,2220,3692,4856,4848,4006,3900,2006,950,190,2,53.0,239768.0,29454607.47,4948374055,5960,0.4309472161966739,4488,17758,18566,13144,0.07477507497500833,0.2958680439853382,0.3093302232589137,0.2189936687770743,6.0,9.99666777740753e-05,45.222587934743295
광장동,11842,2291,2104,3188,3511,582,166,1.0,0.0,5.0,9731,93.0,14.731,10,2.3919,1,0.98,1.0,1.0,3.0,2180,14269,1.0,68076,2650,5472,3870,2950,6250,6068,3402,1506,702,106,4,2354,5336,3884,3686,7570,5950,3424,1584,1080,220,8,55.0,162258.0,36167442.02,4665600020,2291,0.1934639419017058,10808,14390,25838,12036,0.15876373464950938,0.21138139726188376,0.37954638932957285,0.17680239732064162,8.0,0.00011751571772724602,55.49534939791424
광희동,3887,2819,590,280,140,34,24,6.0,1.0,0.0,1283,22.0,129.972,64,0.7369,3,0.76,1.0,1.0,0.0,9352,34741,3.0,11362,124,176,996,1218,692,838,914,478,178,22,0,108,214,1422,1090,652,664,760,526,252,38,0,135.0,412314.0,24959126.15,24609698379,2819,0.7252379727296115,390,4726,2846,3168,0.034324942791762014,0.41594789649709557,0.25048406970603765,0.2788241506776976,0.0,0.0,159.1400767929797
교남동,4343,1625,1045,892,633,124,24,1.0,0.0,0.0,2784,46.0,71.088,54,0.3467,1,3.09,0.0,0.0,0.0,592,8371,1.0,19498,744,788,1014,1310,1572,1598,1074,532,310,24,0,738,824,1212,1600,1806,1714,1282,854,438,64,0,24.0,205542.0,22190148.63,4082987347,1625,0.3741653235090951,1612,5136,6690,4578,0.08267514616883782,0.26341163196225253,0.3431121140629808,0.2347933121345779,0.0,0.0,49.707903946452134
구로1동,8347,2425,2068,1884,1600,295,75,1.0,0.0,3.0,5305,71.0,15.774,17,1.0082,0,0.0,0.0,0.0,1.0,1158,3235,1.0,20618,823,1002,1164,1780,972,1457,667,585,167,20,807,814,897,1280,1770,1002,1534,833,593,261,50,821,17.0,106695.0,55276120.67,9605288968,2425,0.29052354139211695,1899,5994,4965,4804,0.09210398680764381,0.2907168493549326,0.24080900184304976,0.2330002910078572,4.0,0.00019400523814142983,206.70206645276892
구로2동,12191,6353,2943,1659,924,232,80,8.0,2.0,1.0,8739,91.0,15.774,18,1.7021,3,0.4,2.0,2.0,1.0,9656,31811,3.0,22803,327,635,1478,1532,729,2234,1151,1126,529,26,812,337,586,1461,1218,619,2061,1118,1456,701,89,720,39.0,610995.0,52872289.0,15808814412,6353,0.5211221392830777,1221,5689,5643,7728,0.053545586107091175,0.24948471692321186,0.24746743849493488,0.3389027759505328,2.0,8.77077577511731e-05,68.33694695604801
구로3동,13673,8473,2413,1487,1021,215,64,1.0,1.0,3.0,5707,74.0,15.774,17,1.0394,2,0.2,0.0,0.0,2.0,10885,94712,6.0,23339,513,667,2199,2645,1071,1673,696,732,293,20,982,470,652,2235,2026,906,1444,736,901,430,49,805,118.0,490330.0,56884086.61,35666322307,8473,0.61968843706575,1319,9105,5094,5644,0.056514846394447066,0.3901195423968465,0.21826127940357343,0.24182698487510176,5.0,0.00021423368610480313,190.23135818207328
구로4동,10427,5577,2539,1335,775,156,45,20.0,0.0,2.0,6544,81.0,15.774,17,0.5241,2,1.66,0.0,0.0,1.0,2393,6469,1.0,18940,336,466,1222,1448,638,1573,803,949,415,20,645,285,467,1375,1334,580,1585,910,1146,632,65,602,36.0,303239.0,53382383.48,3469854926,5577,0.534861417473866,933,5379,4376,6187,0.049260823653643086,0.28400211193241814,0.2310454065469905,0.3266631467793031,3.0,0.00015839493136219642,29.50673958282444
구로5동,15684,8517,3190,2116,1442,324,95,1.0,1.0,1.0,7768,87.0,15.774,18,1.0117,2,0.55,0.0,0.0,2.0,5596,28055,1.0,29309,795,713,2151,2865,1131,2187,1124,1040,395,35,944,738,735,2888,2790,1025,2198,1141,1214,525,90,900,74.0,473423.0,88776178.77,42257461095,8517,0.5430374904361133,1448,10694,6541,7408,0.04940461974137637,0.36487085878057934,0.22317376914940804,0.2527551264116824,3.0,0.00010235763758572451,230.28943057871518
구산동,13497,4872,3504,2611,1892,487,131,3.0,2.0,4.0,8970,91.0,13.483,2,1.3888,8,6.42,0.0,0.0,3.0,1996,6219,1.0,63280,1400,2548,4040,3794,4752,5412,4946,2624,1116,104,4,1412,2594,4632,3778,4546,5786,5110,2946,1552,180,4,40.0,198317.0,16435216.01,2366671106,4872,0.36096910424538786,5142,16244,20496,18586,0.08125790139064476,0.25670037926675093,0.3238938053097345,0.2937104930467762,7.0,0.00011061946902654867,24.786333281334496
구의1동,13125,7628,2610,1550,1041,239,57,3.0,0.0,2.0,4398,63.0,14.731,11,0.5649,3,0.53,0.0,0.0,0.0,2623,7443,3.0,46796,870,1212,4400,4686,3318,3338,2712,1232,550,56,0,904,1240,5288,4604,3262,3556,3004,1606,828,124,6,62.0,172567.0,23728713.52,8257592305,7628,0.5811809523809524,2452,18978,13474,10118,0.05239764082400205,0.4055474826908283,0.28793059235832125,0.21621506111633473,2.0,4.273869561500983e-05,103.13289188078133
구의2동,11486,4390,2776,2149,1689,366,116,2.0,0.0,3.0,7003,83.0,14.731,10,1.387,2,0.09,0.0,0.0,2.0,1929,5989,1.0,51676,1430,2214,3286,3552,3950,4254,3474,1832,698,38,0,1386,2118,3480,3724,4158,4680,3986,2202,1050,154,10,44.0,231042.0,36865005.55,8068169787,4390,0.38220442277555283,4332,14042,17042,13444,0.08383001780323554,0.271731558170137,0.3297855871197461,0.2601594550661816,5.0,9.675671491601517e-05,78.18594768958506
구의3동,12069,4389,2723,2442,2021,383,111,2.0,1.0,2.0,6640,81.0,14.731,10,1.0268,0,0.0,0.0,0.0,1.0,3708,16217,2.0,56082,1656,2276,3818,4378,3850,4412,3558,1728,694,76,4,1622,2358,4592,4622,4450,4884,3924,1966,1044,166,4,69.0,249069.0,46881188.39,15611435734,4389,0.3636589609743972,4634,17410,17596,13164,0.08262900752469599,0.3104382867943369,0.31375485895652794,0.23472772012410398,3.0,5.349309939017867e-05,140.16358067146905
군자동,11375,7062,2068,1264,777,149,55,2.0,2.0,3.0,4337,62.0,14.731,10,0.7375,1,0.2,0.0,0.0,2.0,2389,9834,3.0,38580,708,1046,4104,3682,2558,2658,2454,1284,534,22,0,644,926,4470,3420,2482,2614,2660,1414,784,112,4,62.0,289370.0,28681937.56,8834036768,7062,0.6208351648351649,1972,15676,10312,9268,0.051114567133229656,0.4063245204769311,0.26728875064800417,0.24022809745982374,5.0,0.00012960082944530845,73.8003978053788
금호1가동,6528,2292,1661,1399,923,195,58,1.0,0.0,1.0,4213,61.0,12.345,1,0.4446,1,18.06,0.0,0.0,1.0,927,2416,0.0,29874,1160,1090,1552,2176,2558,2244,1988,1022,418,32,0,1060,1050,1594,2472,2496,2430,2372,1296,756,104,4,18.0,135141.0,11504769.37,621257546,2292,0.35110294117647056,2140,7794,9728,7992,0.07163419696056772,0.2608957622012452,0.325634330856263,0.2675235991162884,2.0,6.69478476266988e-05,10.314671202576438
금호2.3가동,9871,3572,2622,2020,1320,264,73,1.0,0.0,2.0,5907,76.0,24.689,36,0.6307,5,4.46,0.0,0.0,1.0,1458,2963,2.0,44106,1656,1306,2532,3748,3506,3352,2862,1428,632,60,6,1502,1312,2498,3868,3662,3704,3276,1932,1100,156,8,23.0,172453.0,32690117.23,1863336682,3572,0.36186809847026646,2618,12646,14224,11460,0.05935700358227906,0.2867183603137895,0.3224958055593343,0.25982859474901376,3.0,6.801795674057951e-05,23.573400345769294
금호4가동,6403,2336,1665,1336,857,162,47,3.0,0.0,2.0,4065,59.0,12.345,2,0.8317,2,5.84,0.0,0.0,2.0,999,2294,0.0,28554,1288,952,1360,2162,2578,2120,1758,908,364,26,4,1164,922,1360,2572,2648,2166,2152,1260,684,102,4,18.0,186494.0,24561032.22,1768394320,2336,0.36482898641261907,1874,7454,9512,7262,0.06563003432093577,0.2610492400364222,0.33312320515514465,0.25432513833438397,4.0,0.00014008545212579673,22.529462934812134
길동,21953,10195,5022,3561,2440,545,190,15.0,0.0,5.0,11189,96.0,17.327,28,1.6303,5,5.2,0.0,0.0,3.0,5966,23814,1.0,44808,1104,1389,3003,3692,3350,3464,3451,1805,539,50,3,992,1261,3454,3505,3202,3643,3955,1975,808,156,7,69.0,288559.0,37109181.48,18369044835,10195,0.4644012207898693,2650,13654,13659,12749,0.05914122478128905,0.30472237100517763,0.30483395822174614,0.2845250848062846,8.0,0.00017853954650955185,150.96320341508522
길음1동,12472,2566,2617,3173,3375,599,142,2.0,1.0,7.0,10809,96.0,13.848,5,0.7967,8,1.63,0.0,0.0,3.0,1583,4419,2.0,69620,3124,4848,3224,3402,6746,5902,3074,1702,838,46,0,2960,5086,3540,4148,7834,5444,3820,2464,1210,200,8,33.0,556362.0,23597740.79,1227082521,2566,0.20574085952533674,9934,14314,25926,13362,0.1426888825050273,0.20560183855214018,0.37239299051996555,0.19192760700948003,10.0,0.00014363688595231256,5.370553658967743
길음2동,8732,2555,2036,1972,1711,375,83,1.0,0.0,2.0,4595,65.0,27.697,37,0.5875,0,0.0,0.0,0.0,0.0,1696,5554,2.0,43734,2066,2196,2344,2786,3766,3596,2434,1294,434,42,0,2024,1932,2692,3074,4108,3682,2876,1506,744,134,4,48.0,389862.0,28660432.14,2006230250,2555,0.29260192395785617,4128,10896,15152,9468,0.09438880504870352,0.2491425435587872,0.3464581332601637,0.2164906022774043,2.0,4.573101019801528e-05,12.67659580087619
낙성대동,12104,9114,1546,739,527,132,46,0.0,1.0,0.0,3038,49.0,17.205,27,2.2611,5,0.5,10.0,3.0,1.0,1997,8919,10.0,35022,548,838,5638,4206,2022,1760,1346,796,362,30,0,506,890,6256,3440,1740,1554,1434,1050,550,52,4,52.0,650121.0,16507747.85,3384088310,9114,0.7529742233972241,1728,19540,7076,5624,0.04934041459653932,0.5579350122779967,0.20204442921592142,0.16058477528410714,1.0,2.8553480669293585e-05,13.532174775072953
난곡동,12909,6045,3241,1943,1315,266,99,5.0,0.0,2.0,7269,85.0,14.245,8,0.9717,4,1.25,0.0,0.0,1.0,1485,3215,0.0,51590,890,1720,3774,3842,3770,4376,4150,2318,944,58,0,966,1528,3674,3172,3148,4498,4464,2860,1240,192,6,10.0,239565.0,52102019.45,4011855498,6045,0.46827794561933533,3248,14462,15792,16232,0.06295793758480325,0.280325644504749,0.30610583446404344,0.31463461911223106,3.0,5.8150804419461134e-05,37.750974312745434
난향동,6190,1990,1608,1233,1034,246,79,2.0,0.0,1.0,4517,64.0,14.245,8,0.8208,1,0.12,0.0,0.0,1.0,734,2130,0.0,29720,924,1400,1714,1538,2554,2752,1998,1196,456,22,0,928,1336,1608,1644,2602,2550,2334,1446,622,96,0,9.0,142127.0,39549654.63,5253859384,1990,0.32148626817447495,2736,6504,10458,8170,0.09205921938088829,0.21884253028263795,0.3518842530282638,0.27489905787348584,2.0,6.729475100942126e-05,83.76134176697957
남가좌1동,6157,1376,1358,1563,1482,291,87,6.0,0.0,1.0,4883,67.0,13.844,4,0.4752,4,2.9,0.0,0.0,1.0,954,2718,1.0,33446,2044,1802,1494,1942,3472,2346,1666,774,420,42,0,1964,1840,1696,2524,3382,2388,1830,1108,616,94,2,17.0,193231.0,59796450.0,717557400,1376,0.22348546369985384,3642,7656,11588,6552,0.10889194522513904,0.22890629671709622,0.346468934999701,0.19589786521557137,2.0,5.979788315493632e-05,8.672739999786069
남가좌2동,13375,5541,2940,2415,1977,406,96,3.0,1.0,3.0,7778,87.0,13.844,5,0.7832,4,0.73,0.0,0.0,1.0,2044,5698,3.0,58536,2462,2372,4016,3976,4844,4368,3400,1892,864,76,4,2356,2404,4214,4276,4704,4546,3608,2548,1412,182,12,67.0,359485.0,27409354.43,4741818316,5541,0.4142803738317757,4776,16482,18462,13998,0.08159081590815909,0.28157031570315705,0.31539565395653957,0.2391348913489135,4.0,6.833401667350006e-05,31.07806320145219
